sampleID	prelim_taxa	avgcov
T3_CG27	Bacillus	26.7133
T3_CG28	Pantoea	20.453
T3_CG29	Pantoea	13.636
T3_CG30	Curtobacterium	4.956
T3_CG31	Pantoea	17.563
T3_CG32	Achromobacter	45.2899
T3_CG33	Curtobacterium	38.5582
T3_CG34	annotated	12.7391
T3_CG35	Bacillus	18.5847
T3_CG36	Pantoea	20.2386
T3_CG37	Curtobacterium	19.6384
T3_CG38	annotated	14.5271
T3_CG39	Pantoea	14.7713
T3_CG40	Curtobacterium	35.3684
T3_CG41	Pantoea	30.8876
T3_CG42	Curtobacterium	43.3558
T3_CG43	annotated	21.5234
T3_CG44	Curtobacterium	9.08177
T3_CG45	Bacillus	15.9333
T3_CG46	Curtobacterium	43.7704
T3_CG47	Pantoea	22.3288
T3_CG48	annotated	36.6802
T3_WG01	Curtobacterium	5.76798
T3_WG02	Curtobacterium	6.99104
T3_WG03	Pantoea	19.3573
T3_WG04	Pantoea	28.4148
T3_WG05	Bacillus	23.5867
T3_WG06	Curtobacterium	50.1497
T3_WG07	Pantoea	35.3655
T3_WG08	Curtobacterium	13.7601
T3_WG09	Curtobacterium	36.3013
T3_WG10	Curtobacterium	19.9238
T3_WG11	Curtobacterium	68.3984
T3_WG12	Curtobacterium	17.6393
T3_WG13	Bacillus	39.3888
T3_WG14	Curtobacterium	15.2876
T3_WG15	Pantoea	14.1304
T3_WG16	Pantoea	20.9057
T3_WG17	Curtobacterium	6.6753
T3_WG18	Curtobacterium	7.91503
T3_WG19	annotated	15.694
T3_WG20	Pantoea	19.3768
T3_WG21	Curtobacterium	10.2737
T3_WG22	Curtobacterium	44.5036
T3_WG23	Curtobacterium	10.939
T3_WG24	Curtobacterium	12.2383
T3_WG25	Pseudomonas	24.08
T3_WG26	Curtobacterium	12.9491
T3_WG27	Microbacterium	9.55793
T3_WG28	Curtobacterium	6.87473
T3_WG29	Pantoea	21.3411
T3_WG30	Curtobacterium	8.95425
T3_WG31	annotated	47.4214
T3_WG32	Curtobacterium	7.01669
T3_WG33	Curtobacterium	8.77471
T3_WG34	Curtobacterium	71.2211
T3_WG35	Curtobacterium	10.8006
T3_WG36	Curtobacterium	38.2525
T3_WG37	Pantoea	24.1834
T3_WG38	Curtobacterium	6.91425
T3_WG39	Curtobacterium	20.3305
T3_WG40	Pantoea	23.3805
T3_WG41	Curtobacterium	17.7044
T3_WG42	Curtobacterium	5.05958
T3_WG43	annotated	30.8958
T3_WG44	Erwinia	57.8721
T3_WG45	Pantoea	24.5654
T3_WG46	Pantoea	18.9444
T3_WG47	Pantoea	35.9002
T3_WG48	Curtobacterium	43.7004
T2_CG47	Pantoea	7.27596
