file,sample,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T1_CG48.filtered.gatk.gd,T1_CG48,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG4.filtered.gatk.gd,T1_CG4,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T1_CG5.filtered.gatk.gd,T1_CG5,4,4,0,0,0,0,0,0,0,0,3773875,3773875,2,2,0,0,0,0
T1_CG6.filtered.gatk.gd,T1_CG6,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG7.filtered.gatk.gd,T1_CG7,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG8.filtered.gatk.gd,T1_CG8,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T1_CG9.filtered.gatk.gd,T1_CG9,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_LE11.filtered.gatk.gd,T1_LE11,5,5,0,0,0,0,0,0,0,0,3773875,3773875,1,2,0,0,0,2
T1_LE12.filtered.gatk.gd,T1_LE12,5,5,0,0,0,0,0,0,0,0,3773875,3773875,1,2,0,0,0,2
T1_LE13.filtered.gatk.gd,T1_LE13,4,2,2,0,0,0,0,0,0,0,3773875,3773875,0,0,1,0,0,1
T1_LE14.filtered.gatk.gd,T1_LE14,8,5,3,0,0,0,0,0,0,0,3773875,3773875,1,2,2,0,0,0
T1_LE15.filtered.gatk.gd,T1_LE15,8,4,4,0,0,0,0,0,0,0,3773875,3773875,1,2,0,0,0,1
T1_LE16.filtered.gatk.gd,T1_LE16,7,4,3,0,0,0,0,0,0,0,3773875,3773875,1,2,0,0,0,1
T1_LE17.filtered.gatk.gd,T1_LE17,7,7,0,0,0,0,0,0,0,0,3773875,3773875,0,5,1,0,0,1
T1_LE18.filtered.gatk.gd,T1_LE18,5,3,2,0,0,0,0,0,0,0,3773875,3773875,0,3,0,0,0,0
T1_LE19.filtered.gatk.gd,T1_LE19,5,5,0,0,0,0,0,0,0,0,3773875,3773875,1,3,0,0,0,1
T1_LE1.filtered.gatk.gd,T1_LE1,3,1,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,1
T1_LE20.filtered.gatk.gd,T1_LE20,5,5,0,0,0,0,0,0,0,0,3773875,3773875,1,3,0,0,0,1
T1_LE21.filtered.gatk.gd,T1_LE21,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_LE22.filtered.gatk.gd,T1_LE22,3,1,2,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_LE23.filtered.gatk.gd,T1_LE23,5,4,1,0,0,0,0,0,0,0,3773875,3773875,1,2,0,0,0,1
T1_LE24.filtered.gatk.gd,T1_LE24,4,2,2,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,1
T1_LE25.filtered.gatk.gd,T1_LE25,5,3,2,0,0,0,0,0,0,0,3773875,3773875,0,3,0,0,0,0
T1_LE26.filtered.gatk.gd,T1_LE26,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,1
T1_LE27.filtered.gatk.gd,T1_LE27,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,0,1,0,0,1
T1_LE28.filtered.gatk.gd,T1_LE28,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,0,1,0,0,1
T1_LE29.filtered.gatk.gd,T1_LE29,6,4,2,0,0,0,0,0,0,0,3773875,3773875,0,3,0,0,0,1
T1_LE2.filtered.gatk.gd,T1_LE2,6,2,4,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,0
T1_LE30.filtered.gatk.gd,T1_LE30,4,2,2,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T1_LE31.filtered.gatk.gd,T1_LE31,10,9,1,0,0,0,0,0,0,0,3773875,3773875,1,8,0,0,0,0
T1_LE32.filtered.gatk.gd,T1_LE32,10,9,1,0,0,0,0,0,0,0,3773875,3773875,1,8,0,0,0,0
T1_LE33.filtered.gatk.gd,T1_LE33,4,3,1,0,0,0,0,0,0,0,3773875,3773875,0,3,0,0,0,0
T1_LE34.filtered.gatk.gd,T1_LE34,4,3,1,0,0,0,0,0,0,0,3773875,3773875,0,3,0,0,0,0
T1_LE35.filtered.gatk.gd,T1_LE35,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T1_LE36.filtered.gatk.gd,T1_LE36,4,3,1,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,1
T1_LE37.filtered.gatk.gd,T1_LE37,6,4,2,0,0,0,0,0,0,0,3773875,3773875,1,2,0,0,0,1
T1_LE38.filtered.gatk.gd,T1_LE38,7,4,3,0,0,0,0,0,0,0,3773875,3773875,1,2,0,0,0,1
T1_LE39.filtered.gatk.gd,T1_LE39,5,4,1,0,0,0,0,0,0,0,3773875,3773875,0,3,0,0,0,1
T1_LE3.filtered.gatk.gd,T1_LE3,5,3,2,0,0,0,0,0,0,0,3773875,3773875,1,2,0,0,0,0
T1_LE40.filtered.gatk.gd,T1_LE40,10,6,4,0,0,0,0,0,0,0,3773875,3773875,3,2,0,0,0,1
T1_LE41.filtered.gatk.gd,T1_LE41,6,5,1,0,0,0,0,0,0,0,3773875,3773875,0,3,0,0,0,2
T1_LE42.filtered.gatk.gd,T1_LE42,6,5,1,0,0,0,0,0,0,0,3773875,3773875,0,3,0,0,0,2
T1_LE43.filtered.gatk.gd,T1_LE43,5,4,1,0,0,0,0,0,0,0,3773875,3773875,1,3,0,0,0,0
T1_LE44.filtered.gatk.gd,T1_LE44,9,6,3,0,0,0,0,0,0,0,3773875,3773875,0,5,0,0,0,1
T1_LE45.filtered.gatk.gd,T1_LE45,4,4,0,0,0,0,0,0,0,0,3773875,3773875,1,3,0,0,0,0
T1_LE46.filtered.gatk.gd,T1_LE46,4,4,0,0,0,0,0,0,0,0,3773875,3773875,1,3,0,0,0,0
T1_LE47.filtered.gatk.gd,T1_LE47,12,10,2,0,0,0,0,0,0,0,3773875,3773875,2,8,0,0,0,0
T1_LE48.filtered.gatk.gd,T1_LE48,8,6,2,0,0,0,0,0,0,0,3773875,3773875,2,3,1,0,0,0
T1_LE49.filtered.gatk.gd,T1_LE49,9,6,2,1,0,0,0,0,0,0,3773875,3773875,3,3,0,0,0,0
T1_LE4.filtered.gatk.gd,T1_LE4,6,4,2,0,0,0,0,0,0,0,3773875,3773875,1,3,0,0,0,0
T1_LE50.filtered.gatk.gd,T1_LE50,8,6,1,1,0,0,0,0,0,0,3773875,3773875,3,3,0,0,0,0
