file,sample,CONVERTED-BASES,CONVERTED-READS,INPUT-BASES,INPUT-READS,MAPPED-BASES,MAPPED-READS,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T1_WG46.bre.gd,T1_WG46,312352087,2321953,312373549,2322158,311517682,2315373,7,3,4,0,0,0,0,0,0,0,3773875,3709670,1,1,0,0,0,1
T1_WG47.bre.gd,T1_WG47,182103102,1375940,182116025,1376062,181632735,1372326,4,1,3,0,0,0,0,0,0,0,3773875,3704332,0,0,0,0,0,1
T1_WG48.bre.gd,T1_WG48,239390885,1789221,239410200,1789392,238714144,1783934,5,3,2,0,0,0,0,0,0,0,3773875,3706974,0,2,0,0,0,1
T1_WG4.bre.gd,T1_WG4,169866813,1237649,169877662,1237744,169604370,1235681,4,1,3,0,0,0,0,0,0,0,3773875,3705069,0,0,0,0,0,1
T1_WG6.bre.gd,T1_WG6,269863147,2007870,269882315,2008048,268994488,2001065,8,4,4,0,0,0,0,0,0,0,3773875,3709554,0,1,0,0,0,3
T1_WG7.bre.gd,T1_WG7,183783681,1373255,183800134,1373408,183227478,1368807,7,3,4,0,0,0,0,0,0,0,3773875,3706654,1,1,0,0,0,1
T1_WG8.bre.gd,T1_WG8,278263660,2072142,278291142,2072390,277346228,2064914,3,1,2,0,0,0,0,0,0,0,3773875,3709319,0,0,0,0,0,1
T2_CG01.bre.gd,T2_CG01,1199600124,9771503,1200801226,9781226,1187881371,9676548,6,1,5,0,0,0,0,0,0,0,3773875,3712286,0,0,0,0,0,1
T2_CG02.bre.gd,T2_CG02,1019700673,8320483,1020576933,8327590,1015533942,8289406,3,1,2,0,0,0,0,0,0,0,3773875,3712252,0,0,0,0,0,1
T2_CG03.bre.gd,T2_CG03,94649057,759820,94725837,760434,93200914,748036,5,3,2,0,0,0,0,0,0,0,3773875,3655050,0,1,0,0,0,2
T2_CG04.bre.gd,T2_CG04,1152796520,9531123,1153786693,9539122,1143783125,9459636,6,3,3,0,0,0,0,0,0,0,3773875,3712354,0,2,0,0,0,1
T2_CG05.bre.gd,T2_CG05,46189917,369642,46226674,369936,45133200,361066,3,1,2,0,0,0,0,0,0,0,3773875,3284260,0,0,0,0,0,1
T2_CG06.bre.gd,T2_CG06,54057332,434403,54106719,434798,51262268,412156,3,1,2,0,0,0,0,0,0,0,3773875,3445157,0,0,0,0,0,1
T2_CG07.bre.gd,T2_CG07,987543533,8063142,988368480,8069752,976282304,7971751,5,2,3,0,0,0,0,0,0,0,3773875,3712051,0,1,0,0,0,1
T2_CG08.bre.gd,T2_CG08,1640507873,13414307,1641897999,13425476,1622913610,13271495,4,2,2,0,0,0,0,0,0,0,3773875,3712479,0,1,0,0,0,1
T2_CG09.bre.gd,T2_CG09,1814053540,14945836,1815644007,14958706,1803007964,14859647,4,1,3,0,0,0,0,0,0,0,3773875,3712568,0,0,0,0,0,1
T2_CG10.bre.gd,T2_CG10,2623227392,22101979,2625255135,22118452,2610975758,22006864,5,2,3,0,0,0,0,0,0,0,3773875,3712798,0,1,0,0,0,1
T2_CG11.bre.gd,T2_CG11,500619406,4098046,501047744,4101498,497713890,4075593,6,3,3,0,0,0,0,0,0,0,3773875,3711473,0,1,0,0,0,2
T2_CG12.bre.gd,T2_CG12,627943442,5209979,628523567,5214694,621915359,5161334,4,2,2,0,0,0,0,0,0,0,3773875,3711695,1,0,0,0,0,1
T2_CG19.bre.gd,T2_CG19,765855357,6228164,766988372,6237518,760704508,6187444,3,1,2,0,0,0,0,0,0,0,3773875,3711953,0,0,0,0,0,1
T2_CG20.bre.gd,T2_CG20,109221557,870371,109311661,871092,107836364,859561,3,1,2,0,0,0,0,0,0,0,3773875,3672969,0,0,0,0,0,1
T2_CG21.bre.gd,T2_CG21,179762320,1441652,179899887,1442744,178181769,1429182,3,1,2,0,0,0,0,0,0,0,3773875,3702672,0,0,0,0,0,1
T2_CG22.bre.gd,T2_CG22,778655071,6588869,779276001,6593926,772791203,6541560,6,2,4,0,0,0,0,0,0,0,3773875,3711904,1,0,0,0,0,1
